Model Name, Part Description, Part Number, Comments
AMX 4,Fuse rotor board,2ABW9,6.3 amp micro fuse on rotor board. Ordered at Grainger
AMX 4,Handswitch hanger,46-279005P1,No comments
AMX 4,Handswitch cable,2188371,No comments
AMX 4,Handswitch,46-270800G5,No comments
P500D,Power assist handle,46-303771G3,Works on legacy or p500d. Handle only
P500D,Power assist handle assy w/ preamp bd,5443828-3,This is the assembly along with the preamp board
P500D,Power assist handle assy w/o preamp,5443828,Used on newer aurora systems
Optima 220,Handswitch cable,2188371-2,No comments
XRD Gipeto,OTS collimator rotation switch kit,2286460,No comments
Proteus XR/A,OTS UIF handlebar assy,2320993,No comments
Proteus XR/A,OTS Console Push button caps and switch,5755447,No comments
GE OTS Gen,Dolly Long Lock assembly,2113175-2,Proteus legacy p500 xrd bridge uses this lock assy.
Definium 5K,Handswitch w/ RJ45 connector,5197759,No comments
GE OTS Gen,OTS bumper,5182617,Piece that is mounted on the bottom of the OTS. 
Service,3M vaccum filter,46-194427P393,No comments
Proteus XR/A,Bucky handle,2288705,Plastic handle that breaks. Button that goes in handle 2288706. 
Definium 5K,Kit relay K2,5198704,Orange little relay with holder that causes the vertical drive not to work. 
AMX 4,Rotor control board,5350020,No comments
AMX 4,Shock absorbing spring front caster,46-303780P1,No comments
AMX 4,120 V cord reel 9.5 ft retractable,46-303474P1,No comments
AMX 4,Plug 120vac,46-220261P1,Hospital grade plug 120vac
AMX 4,Drive handle assy amx4 plus,2273437,No comments
Optima 220,Hand switch,5503500,Exposure switch
Optima 220,Handswitch holder,5492854,New holder. Kit 5392190-2
AMX 4,Horizontal arm brake cable,46-250255G1,No comments
AMX 4,Yoke wire clamp,46-279231P1,Clamp that holds both hv cables and mounts to horizontal arm. 
Service,General purpose 2 step epoxy,46-170918P1,Used to put strip on front of legacy table
Optima 220,Collimator front plate,5761534,No comments
Service,xray exposure control service tool,2256488,No comments
AMX 4,Collimator kit Medys,5116170,No comments
AMX 4,Battery test harness cable,46-316915G2,Cable that goes from the test point on top right to battery board. 
AMX 4,AMX FSE battery kit,5342587,Kit that contains batteries already wired together. 
AMX 4,Amx 4 plus column assy 76 inch,2174198,No comments
AMX 4,Control panel label grey#4,46-270738P2,No comments
AMX 4,Kit of amx4+ top cover labels,2201783,No comments
AMX 4,Park latch sensor,2173060,Sensor only
AMX 4,AMX latch base assy,5316575,No comments
AMX 4,amx4 horizontal arm assy,2273438,Whole horizontal arm assy
Service,ty wrap 7inch standard,3XAT5,Grainger part
Service,ty wrap large white,2CNA5,Grainger
Siemens Axiom Artis,Footswitch,5113168UA,No comments
Service,Xray detector coolant,2369908,No comments
Service,xray detector coolant kit,2355459,No comments
Proteus XR/A,Bucky bar assembly,2362889,Bar that is on front of table it includes the metal spacer in the center of the bar.
Proteus XR/A,Hose cover kit,5184311,Grey cover in 2 pieces with zipper. Used to replace plastic hose. 
Proteus XR/A,Switch for wallstand lock,023-0017,This is the switch that releases the wall stand vertical locks.
Service,ext USB keyboard,5159809,No comments
Service,ext USB DVD drive,5136461,No comments
Proteus XR/A,Table End Cap,5310199,Cap for Proteus table blue plastic
Service,XRD And Mammo service key,2150965-5,No comments
Proteus XR/A,Eclipse collimator bulb,2383107,No comments
GE OTS Gen,Detent lever handle,2142698-2,Plastic handle that releases the gooseneck rotation.
XRD Gipeto,UIF handle bar assembly,2320994,No comments
Optima 220,hardware kit for superbee,5399683,Includes security bit for tube head cover.
AMX 4,Display AMX variation 2,2345236-2,Board with 4 switches kv up down mas up and down.
GE OTS Gen,Trolly carrier for cable drape,46-219060G1,No comments
